id,dispatch_time,incident_type,priority_number,units_arrived_at_scene
1,2023-12-08 09:21,Other,9,6
2,2023-02-17 05:17,Emergency Transfer,3,3
3,2023-08-30 10:46,Medical,13,6
4,2023-11-06 12:46,Fire,9,7
5,2023-05-24 03:44,Motor Vehicle Accident,5,3
6,2023-10-17 21:40,Medical,4,12
7,2023-04-21 21:13,Motor Vehicle Accident,4,3
8,2023-06-18 08:59,Medical,11,7
9,2023-04-16 05:39,Medical,3,5
10,2023-01-28 04:29,Motor Vehicle Accident,4,6
11,2023-07-07 04:57,Medical,3,7
12,2023-02-17 12:14,Emergency Transfer,5,7
13,2023-01-17 05:17,Medical,4,4
14,2023-07-09 04:09,Other,12,5
15,2023-04-21 17:56,Motor Vehicle Accident,3,3
16,2023-08-11 18:35,Medical,4,8
17,2023-01-27 23:56,Other,4,6
18,2023-03-30 07:38,Medical,3,7
19,2023-07-02 00:36,Motor Vehicle Accident,3,2
20,2023-03-16 13:09,Motor Vehicle Accident,11,4
21,2023-11-19 15:12,Other,4,8
22,2023-01-26 08:18,Fire,3,1
23,2023-03-24 09:33,Other,3,5
24,2023-12-25 22:43,Other,5,6
25,2023-12-02 00:18,Fire,3,1
26,2023-05-16 13:13,Motor Vehicle Accident,12,4
27,2023-07-19 10:14,Motor Vehicle Accident,5,3
28,2023-12-20 11:24,Fire,4,10
29,2023-10-02 03:05,Medical,5,9
30,2023-05-12 07:54,Other,4,9
31,2023-04-17 23:43,Medical,5,4
32,2023-10-05 07:00,Motor Vehicle Accident,14,5
33,2023-03-02 17:53,Other,9,8
34,2023-05-23 04:15,Other,4,3
35,2023-09-25 21:46,Motor Vehicle Accident,11,3
36,2023-05-10 00:27,Motor Vehicle Accident,5,4
37,2023-04-21 06:08,Emergency Transfer,4,4
38,2023-11-20 08:17,Fire,3,5
39,2023-08-21 13:44,Other,5,4
40,2023-08-20 08:17,Motor Vehicle Accident,1,1
41,2023-06-26 18:05,Motor Vehicle Accident,5,3
42,2023-05-03 11:26,Fire,3,2
43,2023-09-20 09:04,Fire,5,3
44,2023-03-24 11:25,Motor Vehicle Accident,4,4
45,2023-03-25 17:38,Medical,1,0
46,2023-11-06 06:15,Other,4,3
47,2023-10-27 07:27,Motor Vehicle Accident,3,2
48,2023-04-14 17:02,Motor Vehicle Accident,3,3
49,2023-11-27 00:23,Motor Vehicle Accident,4,5
50,2023-03-16 20:02,Motor Vehicle Accident,5,3
51,2023-04-15 06:06,Other,3,5
52,2023-09-03 09:17,Motor Vehicle Accident,4,2
53,2023-10-01 23:43,Motor Vehicle Accident,4,5
54,2023-10-28 18:42,Other,14,8
55,2023-06-14 04:25,Emergency Transfer,4,6
56,2023-05-04 20:49,Motor Vehicle Accident,4,9
57,2023-08-02 10:33,Other,3,4
58,2023-01-11 05:09,Motor Vehicle Accident,12,6
59,2023-12-22 18:52,Other,4,13
60,2023-10-03 03:25,Other,9,4
61,2023-01-24 00:18,Motor Vehicle Accident,4,8
62,2023-09-25 14:58,Motor Vehicle Accident,9,8
63,2023-02-19 20:13,Medical,5,7
64,2023-07-30 09:14,Medical,4,7
65,2023-09-02 22:02,Motor Vehicle Accident,13,4
66,2023-05-24 00:55,Other,11,9
67,2023-06-08 07:45,Other,3,5
68,2023-05-29 05:47,Emergency Transfer,5,5
69,2023-03-31 22:20,Motor Vehicle Accident,5,0
70,2023-02-10 08:24,Emergency Transfer,11,4
71,2023-09-15 20:40,Medical,11,3
72,2023-06-03 10:56,Motor Vehicle Accident,11,3
73,2023-04-09 13:08,Motor Vehicle Accident,4,6
74,2023-05-12 05:47,Medical,3,2
75,2023-04-08 17:11,Other,9,2
76,2023-03-28 16:12,Medical,4,6
77,2023-03-07 16:37,Other,11,9
78,2023-07-16 00:44,Other,3,8
79,2023-10-20 21:09,Other,4,2
80,2023-10-14 00:53,Other,5,4
81,2023-03-26 07:28,Motor Vehicle Accident,3,7
82,2023-11-21 20:53,Medical,5,4
83,2023-03-26 04:10,Motor Vehicle Accident,3,8
84,2023-11-15 21:47,Motor Vehicle Accident,4,6
85,2023-05-05 12:59,Fire,11,10
86,2023-01-24 22:07,Motor Vehicle Accident,1,8
87,2023-06-02 04:51,Other,3,0
88,2023-12-30 14:28,Motor Vehicle Accident,4,1
89,2023-12-07 00:19,Medical,1,1
90,2023-10-25 19:13,Motor Vehicle Accident,3,4
91,2023-12-16 20:00,Medical,4,6
92,2023-08-03 18:24,Medical,4,9
93,2023-09-06 14:33,Motor Vehicle Accident,3,7
94,2023-10-21 21:46,Medical,4,8
95,2023-05-31 21:31,Other,1,2
96,2023-10-29 13:10,Medical,4,3
97,2023-03-19 06:24,Fire,4,11
98,2023-09-01 11:35,Medical,5,4
99,2023-07-03 08:03,Motor Vehicle Accident,4,4
100,2023-02-22 12:35,Other,4,9
101,2023-08-05 22:07,Other,1,7
102,2023-04-08 09:51,Medical,3,6
103,2023-09-01 11:58,Other,5,3
104,2023-06-27 10:30,Motor Vehicle Accident,5,1
105,2023-09-07 15:30,Medical,4,9
106,2023-07-08 09:52,Medical,3,2
107,2023-07-26 14:26,Other,4,12
108,2023-11-20 23:25,Motor Vehicle Accident,3,9
109,2023-05-01 00:08,Fire,4,2
110,2023-01-15 20:09,Emergency Transfer,4,3
111,2023-06-25 06:43,Fire,1,0
112,2023-09-08 22:54,Motor Vehicle Accident,13,4
113,2023-01-14 08:45,Other,4,6
114,2023-06-03 01:48,Medical,5,7
115,2023-01-30 21:50,Medical,9,10
116,2023-01-03 02:40,Fire,5,6
117,2023-06-22 05:55,Fire,9,11
118,2023-05-20 01:42,Motor Vehicle Accident,5,6
119,2023-01-11 10:39,Motor Vehicle Accident,5,8
120,2023-06-10 05:25,Emergency Transfer,3,9
121,2023-05-13 07:45,Medical,3,14
122,2023-06-02 01:00,Medical,4,3
123,2023-06-26 05:13,Motor Vehicle Accident,12,6
124,2023-06-22 05:14,Other,3,10
125,2023-12-06 12:23,Motor Vehicle Accident,4,4
126,2023-08-05 07:58,Medical,1,7
127,2023-07-18 16:04,Medical,4,6
128,2023-09-26 18:25,Medical,9,10
129,2023-09-14 07:49,Motor Vehicle Accident,11,7
130,2023-01-26 18:26,Motor Vehicle Accident,4,11
131,2023-11-18 23:27,Medical,5,11
132,2023-01-09 20:46,Motor Vehicle Accident,4,5
133,2023-06-12 15:12,Motor Vehicle Accident,4,7
134,2023-01-06 15:23,Motor Vehicle Accident,5,6
135,2023-03-31 06:19,Other,4,9
136,2023-11-18 05:35,Fire,1,8
137,2023-07-14 12:33,Medical,12,10
138,2023-12-20 23:56,Other,4,6
139,2023-11-19 16:28,Motor Vehicle Accident,3,4
140,2023-02-10 04:09,Other,5,2
141,2023-05-03 21:16,Motor Vehicle Accident,3,3
142,2023-11-18 18:45,Other,4,8
143,2023-01-26 03:45,Airport Standby,13,6
144,2023-10-13 04:19,Medical,9,6
145,2023-02-15 00:30,Motor Vehicle Accident,4,6
146,2023-04-04 19:54,Fire,4,5
147,2023-06-26 22:12,Motor Vehicle Accident,4,7
148,2023-01-19 07:54,Medical,4,7
149,2023-04-10 09:13,Other,3,8
150,2023-10-09 17:11,Fire,1,5
151,2023-11-29 07:33,Fire,4,7
152,2023-08-20 04:18,Medical,3,9
153,2023-07-09 14:42,Medical,3,8
154,2023-07-03 03:17,Medical,1,6
155,2023-12-28 19:56,Emergency Transfer,14,1
156,2023-04-22 22:29,Medical,4,6
